"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://static.wixstatic.com/media/a24ea3_ee577ab3aeb145dda50b62306fa8220c~mv2.jpg/v1/crop/x_42,y_12,w_769,h_235/fill/w_81,h_24,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/a24ea3_ee577ab3aeb145dda50b62306fa8220c~mv2.jpg","image/jpeg","1984","9","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_42b28b712d3249e8b3df68e39907a164~mv2.png/v1/crop/x_497,y_135,w_1985,h_1988/fill/w_59,h_60,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/YouTube%20Dark%20Mode%203D%20icon%20concept_%20Write.png","image/png","4645","9","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_50db07a9187245d9b743e7181b9418ce~mv2.png/v1/fill/w_129,h_129,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Roku%20TV.png","image/png","7802","1","Indexable","",""
"https://static.wixstatic.com/media/e1aa082f7c0747168d9cf43e77046142.png/v1/fill/w_39,h_39,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/e1aa082f7c0747168d9cf43e77046142.png","image/png","1365","10","Indexable","",""
"https://static.wixstatic.com/media/11062b_66167d61316d4665841f3397360d54a9~mv2.png/v1/fill/w_39,h_39,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/11062b_66167d61316d4665841f3397360d54a9~mv2.png","image/png","1470","10","Indexable","",""
"https://static.wixstatic.com/media/4057345bcf57474b96976284050c00df.png/v1/fill/w_39,h_39,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/4057345bcf57474b96976284050c00df.png","image/png","1536","10","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_42b28b712d3249e8b3df68e39907a164~mv2.png/v1/crop/x_497,y_135,w_1985,h_1988/fill/w_129,h_129,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/YouTube%20Dark%20Mode%203D%20icon%20concept_%20Write.png","image/png","14140","1","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_2c49508b0c4449c9aa3f536d971c7e9b~mv2.png/v1/crop/x_373,y_89,w_454,h_454/fill/w_59,h_60,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Apple%20TV.png","image/png","4145","9","Indexable","",""
"https://static.wixstatic.com/media/11062b_a048901cc2824adfaf0c379396c593cb~mv2_d_5184_3456_s_4_2.jpg/v1/fill/w_490,h_327,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/11062b_a048901cc2824adfaf0c379396c593cb~mv2_d_5184_3456_s_4_2.jpg","image/jpeg","34566","1","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_db2207c2fc304569af0227ec26045070~mv2.jpg/v1/fill/w_686,h_568,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Track.jpg","image/jpeg","84209","9","Indexable","",""
